# BlockSize maxrss blowup maxlivedatasize
32 124911616 1.25 100000000
64 237502464 1.58 150000000
128 343670784 1.96 175000000
256 446824448 2.38 187500000
512 548405248 2.83 193750496
1024 649199616 3.30 196876512
2048 749600768 3.78 198441056
4096 849739776 4.27 199226400
8192 949878784 4.76 199625216
16384 1049886720 5.25 199820544
32768 1150025728 5.75 199918208
65536 1250033664 6.25 199967040
131072 1350041600 6.75 199991456
262144 1450180608 7.24 200265792
524288 1550319616 7.74 200271904
1048576 1650982912 8.20 201323520
2097152 1751646208 8.70 201325056
4194304 1852309504 9.20 201325824
8388608 1952972800 9.70 201326208
16777216 2053636096 10.20 201326400
33554432 2154299392 10.70 201326496
67108864 2288517120 8.53 268435392
