# BlockSize maxrss blowup maxlivedatasize
17 252575744 1.88 134217737
34 442105856 2.20 201326631
68 600047616 2.55 234881129
136 742129664 2.95 251658480
272 880279552 3.39 260047096
544 1016463360 3.85 264241404
1088 1151729664 4.32 266338558
2176 1286340608 4.81 267387135
4352 1420820480 5.30 267915767
8704 1555169280 5.80 268186611
17408 1689518080 6.30 268335089
34816 1823735808 6.79 268435440
69632 1958084608 7.29 268468216
139264 2092302336 7.79 268484604
278528 2226520064 8.29 268492798
557056 2360868864 8.79 268496895
1114112 2495610880 9.26 269613047
2228224 2631532544 9.68 271842291
4456448 2769682432 10.02 276299249
8912896 2912288768 10.21 285212400
17825792 3054895104 10.71 285212536
35651584 3197501440 11.21 285212604
71303168 3340107776 11.71 285212638
