# BlockSize maxrss blowup maxlivedatasize
32 167772160 1.25 134217728
64 318898176 1.58 201326592
128 461504512 1.96 234881024
256 599916544 2.38 251658240
512 736231424 2.83 260046848
1024 871497728 3.30 264241152
2048 1006239744 3.78 266338304
4096 1140719616 4.27 267386880
8192 1275068416 4.76 267911168
16384 1409417216 5.26 268173312
32768 1543634944 5.75 268304384
65536 1677852672 6.25 268369920
131072 1812070400 6.75 268402688
262144 1946288128 7.25 268419072
524288 2080505856 7.75 268427264
1048576 2214723584 8.25 268431360
2097152 2348941312 8.75 268433408
4194304 2483159040 9.25 268434432
8388608 2617376768 9.75 268434944
16777216 2751594496 10.25 268435200
33554432 2885812224 10.75 268435328
67108864 3020029952 11.25 268435392
134217728 3154247680 11.75 268435424
