# BlockSize maxrss blowup maxlivedatasize
32 125042688 1.25 100000000
64 237502464 1.58 150000000
128 343670784 1.96 175000000
256 446824448 2.38 187500000
512 548405248 2.83 193750496
1024 649199616 3.30 196876512
2048 749600768 3.78 198441056
4096 849739776 4.27 199226400
8192 949747712 4.76 199625216
16384 1024524288 5.13 199820544
32768 1074384896 5.37 199918208
65536 1105510400 5.53 199967040
131072 1124278272 5.62 199991456
262144 1135296512 5.67 200265792
524288 1141780480 5.70 200271904
1048576 1146327040 5.69 201323520
2097152 1148280832 5.70 201325056
4194304 1149411328 5.71 201325824
8388608 1150025728 5.71 201326208
16777216 1150349312 5.71 201326400
33554432 1150500864 5.71 201326496
67108864 1217609728 4.54 268435392
