# BlockSize maxrss blowup maxlivedatasize
17 197394432 1.47 134217737
34 363200512 1.80 201326631
68 513146880 2.18 234881129
136 655228928 2.60 251658480
272 793378816 3.05 260047096
544 929693696 3.52 264241404
1088 1064828928 4.00 266338558
2176 1199570944 4.49 267387135
4352 1334050816 4.98 267915767
8704 1464205312 5.46 268186611
17408 1560817664 5.82 268335089
34816 1624768512 6.05 268435440
69632 1664847872 6.20 268468216
139264 1688547328 6.29 268484604
278528 1702293504 6.34 268492798
557056 1710309376 6.37 268496895
1114112 1715867648 6.36 269613047
2228224 1720492032 6.33 271842291
4456448 1726406656 6.25 276299249
8912896 1736036352 6.09 285212400
17825792 1736417280 6.09 285212536
35651584 1736679424 6.09 285212604
71303168 1736835072 6.09 285212638
