# BlockSize maxrss blowup maxlivedatasize
32 167772160 1.25 134217728
64 318767104 1.58 201326592
128 461373440 1.96 234881024
256 461373440 1.83 251658240
512 597688320 2.30 260046848
1024 597688320 2.26 264241152
2048 731906048 2.75 266338304
4096 731906048 2.74 267386880
8192 731906048 2.73 267911168
16384 731906048 2.73 268173312
32768 731906048 2.73 268304384
65536 731906048 2.73 268369920
131072 731906048 2.73 268402688
262144 731906048 2.73 268419072
524288 731906048 2.73 268427264
1048576 731906048 2.73 268431360
2097152 731906048 2.73 268433408
4194304 731906048 2.73 268434432
8388608 731906048 2.73 268434944
16777216 731906048 2.73 268435200
33554432 731906048 2.73 268435328
67108864 731906048 2.73 268435392
134217728 731906048 2.73 268435424
