# BlockSize maxrss blowup livedatasize
32 150208512 3.00 50000000
64 275251200 3.67 75000000
128 275251200 3.15 87500000
256 381419520 4.07 93749920
512 381550592 3.94 96874784
1024 483000320 4.91 98437248
2048 483000320 4.87 99218496
4096 583401472 5.86 99609120
8192 583401472 5.85 99801696
16384 583401472 5.84 99891712
32768 683409408 6.84 99924288
65536 783155200 7.84 99915936
131072 783155200 7.84 99885824
262144 783155200 7.85 99795936
524288 883138560 8.86 99649184
1048576 883138560 8.90 99276224
2097152 883138560 8.98 98294976
4194304 883138560 9.18 96206400
8388608 883138560 9.60 92012352
16777216 894009344 10.69 83623840
33554432 894009344 12.33 72526464
67108864 894009344 18.64 47954848
