# BlockSize maxrss blowup maxlivedatasize
17 252706816 1.88 134217737
34 442236928 2.20 201326631
68 442368000 1.88 234881129
136 442368000 1.76 251658480
272 442368000 1.70 260047096
544 580255744 2.20 264241404
1088 580255744 2.18 266338558
2176 715390976 2.68 267387135
4352 715390976 2.67 267915767
8704 816971776 3.05 268186611
17408 816971776 3.04 268335089
34816 816971776 3.04 268435440
69632 817496064 3.05 268468216
139264 955383808 3.56 268484604
278528 955383808 3.56 268492798
557056 955383808 3.56 268496895
1114112 975818752 3.62 269613047
2228224 975818752 3.59 271842291
4456448 975818752 3.53 276299249
8912896 975818752 3.42 285212400
17825792 975818752 3.42 285212536
35651584 975818752 3.42 285212604
71303168 975818752 3.42 285212638
