# BlockSize maxrss blowup maxlivedatasize
32 201326592 1.50 134217728
64 368967680 1.83 201326592
128 368967680 1.57 234881024
256 511574016 2.03 251658240
512 511574016 1.97 260046848
1024 647888896 2.45 264241152
2048 783024128 2.94 266338304
4096 783155200 2.93 267386880
8192 783155200 2.92 267911168
16384 783155200 2.92 268173312
32768 917372928 3.42 268304384
65536 1051328512 3.92 268369920
131072 1051328512 3.92 268402688
262144 1051328512 3.92 268419072
524288 1051328512 3.92 268427264
1048576 1051328512 3.92 268431360
2097152 1051328512 3.92 268433408
4194304 1051328512 3.92 268434432
8388608 1152122880 4.29 268434944
16777216 1152122880 4.29 268435200
33554432 1152122880 4.29 268435328
67108864 1152122880 4.29 268435392
134217728 1152122880 4.29 268435424
