# BlockSize maxrss blowup maxlivedatasize
32 99684352 1.00 100000000
64 199692288 1.33 150000000
128 299831296 1.71 175000000
256 399839232 2.13 187500000
512 500109312 2.58 193749984
1024 600379392 3.05 196874976
2048 701173760 3.53 198437472
4096 802754560 4.03 199218720
8192 904466432 4.53 199609344
16384 1006047232 5.04 199804160
32768 1107890176 5.54 199885440
65536 1214058496 6.07 199901504
131072 1316950016 6.59 199901504
262144 1418399744 7.10 199901504
524288 1518800896 7.60 199901504
1048576 1618808832 8.10 199901504
2097152 1717637120 8.59 199901504
4194304 1814106112 9.07 199901504
8388608 1906511872 9.54 199901504
16777216 1990397952 9.96 199901504
33554432 2057506816 10.29 199901504
67108864 2124615680 10.63 199901504
