# BlockSize maxrss blowup maxlivedatasize
17 252575744 1.88 134217737
34 505413632 2.51 201326631
68 758120448 3.23 234881129
136 1011089408 4.02 251658480
272 1264189440 4.86 260047096
544 1517813760 5.74 264241404
1088 1772486656 6.66 266338558
2176 2025062400 7.57 267387135
4352 2277769216 8.50 267915767
8704 2467168256 9.20 268186611
17408 2625110016 9.78 268335089
34816 2767323136 10.31 268435440
69632 2909405184 10.84 268468216
139264 3047686144 11.35 268484604
278528 3183869952 11.86 268492798
557056 3319136256 12.36 268496895
1114112 3454402560 12.81 269613047
2228224 3590586368 13.21 271842291
4456448 3728867328 13.50 276299249
8912896 3871473664 13.57 285212400
17825792 4014211072 14.07 285212536
35651584 4156817408 14.57 285212604
71303168 4299423744 15.07 285212638
