# BlockSize maxrss blowup maxlivedatasize
32 134348800 1.00 134217728
64 268697600 1.33 201326592
128 403046400 1.72 234881024
256 537395200 2.14 251658240
512 671875072 2.58 260046848
1024 806617088 3.05 264241152
2048 941883392 3.54 266338304
4096 1078198272 4.03 267386880
8192 1214644224 4.53 267911168
16384 1351090176 5.04 268173312
32768 1487667200 5.54 268304384
65536 1630273536 6.07 268369920
131072 1768685568 6.59 268402688
262144 1905000448 7.10 268419072
524288 2040266752 7.60 268427264
1048576 2175008768 8.10 268431360
2097152 2309488640 8.60 268433408
4194304 2443837440 9.10 268434432
8388608 2578186240 9.60 268434944
16777216 2712403968 10.10 268435200
33554432 2846621696 10.60 268435328
67108864 2980839424 11.10 268435392
134217728 3115057152 11.60 268435424
