# BlockSize maxrss blowup maxlivedatasize
32 134742016 1.00 134217728
64 269615104 1.34 201326592
128 404488192 1.72 234881024
256 539361280 2.14 251658240
512 674234368 2.59 260046848
1024 809107456 3.06 264241152
2048 943980544 3.54 266338304
4096 1078853632 4.03 267386880
8192 1213464576 4.53 267911168
16384 1347944448 5.03 268173312
32768 1482293248 5.52 268304384
65536 1616642048 6.02 268369920
131072 1750990848 6.52 268402688
262144 1885339648 7.02 268419072
524288 2019688448 7.52 268427264
1048576 2154037248 8.02 268431360
2097152 2288386048 8.52 268433408
4194304 2422734848 9.03 268434432
8388608 2557083648 9.53 268434944
16777216 2691432448 10.03 268435200
33554432 2825781248 10.53 268435328
67108864 2960130048 11.03 268435392
134217728 3094478848 11.53 268435424
